cloudsize timeav nodecountav
1000 91.762 214.558
1250 163.116 262.886
1500 265.09 317.032
1750 402.088 369.07
2000 563.054 417.832
2250 782.138 469.396
2500 1035.508 516.03
2750 1351.306 567.442
3000 1772.49 620.698
3250 2153.198 671.37
3500 2701.836 722.116
3750 3239.148 765.62
4000 3922.248 824.074
4250 4698.62 875.092
