800 0.43 3.94 66.82 108.85
900 0.48 4.18 85.57 136.36
1000 0.46 5.48 104.23 170.28
1100 0.57 5.1 127.5 205.24
1200 0.65 5.4 149.78 247
1300 0.63 6.24 176.92 287.11
1400 0.71 7.36 206.73 330.25
1500 0.73 7.43 236.04 378.89
1600 0.87 8.14 271.3 433.35
1700 0.92 8.07 301.85 495.29
1800 0.85 9.14 341.98 553.86
1900 0.89 9.05 376.81 616.89
2000 0.98 10.29 423.11 676.17
